Gmt time,Open,High,Low,Close,Volume
12.05.2023 01:44:00.000,1.25151,1.25153,1.25142,1.25144,43.2
12.05.2023 01:45:00.000,1.25145,1.25145,1.25138,1.25141,46.8
12.05.2023 01:46:00.000,1.25140,1.25144,1.25138,1.25144,39.69
12.05.2023 01:47:00.000,1.25144,1.25152,1.25144,1.25147,31.5
12.05.2023 01:48:00.000,1.25145,1.25151,1.25142,1.25151,22.5
12.05.2023 01:49:00.000,1.25152,1.25156,1.25151,1.25154,38.7
12.05.2023 01:50:00.000,1.25154,1.25155,1.25144,1.25149,45.9
12.05.2023 01:51:00.000,1.25147,1.25153,1.25143,1.25146,38.25
12.05.2023 01:52:00.000,1.25147,1.25155,1.25146,1.25152,40.05
12.05.2023 01:53:00.000,1.25152,1.25155,1.25152,1.25155,22.95
12.05.2023 01:54:00.000,1.25156,1.25165,1.25156,1.25163,19.35
12.05.2023 01:55:00.000,1.25164,1.25166,1.25161,1.25165,22.05
12.05.2023 01:56:00.000,1.25163,1.25165,1.25163,1.25164,24.75
12.05.2023 01:57:00.000,1.25165,1.25166,1.25164,1.25166,11.7
12.05.2023 01:58:00.000,1.25166,1.25167,1.25153,1.25165,42.84
12.05.2023 01:59:00.000,1.25165,1.25165,1.25162,1.25164,36
12.05.2023 02:00:00.000,1.25164,1.25166,1.25151,1.25153,82.29
12.05.2023 02:01:00.000,1.25156,1.25164,1.25154,1.25155,55.8
12.05.2023 02:02:00.000,1.25156,1.25157,1.25145,1.25152,37.8
12.05.2023 02:03:00.000,1.25153,1.25158,1.25151,1.25158,29.7
12.05.2023 02:04:00.000,1.25159,1.25166,1.25159,1.25164,43.2
12.05.2023 02:05:00.000,1.25166,1.25167,1.25160,1.25162,36.9
12.05.2023 02:06:00.000,1.25162,1.25164,1.25138,1.25139,72.24
12.05.2023 02:07:00.000,1.25139,1.25147,1.25137,1.25144,207.6
12.05.2023 02:08:00.000,1.25144,1.25148,1.25142,1.25144,150.21
12.05.2023 02:09:00.000,1.25144,1.25144,1.25133,1.25138,119.46
12.05.2023 02:10:00.000,1.25138,1.25139,1.25129,1.25135,83.76
12.05.2023 02:11:00.000,1.25137,1.25137,1.25120,1.25123,181.72
12.05.2023 02:12:00.000,1.25123,1.25132,1.25119,1.25132,114.3
12.05.2023 02:13:00.000,1.25130,1.25134,1.25129,1.25130,34.2
12.05.2023 02:14:00.000,1.25131,1.25141,1.25130,1.25141,27.9
12.05.2023 02:15:00.000,1.25142,1.25142,1.25139,1.25141,19.8
12.05.2023 02:16:00.000,1.25140,1.25144,1.25134,1.25141,34.2
12.05.2023 02:17:00.000,1.25142,1.25147,1.25140,1.25147,34.2
12.05.2023 02:18:00.000,1.25149,1.25154,1.25149,1.25151,20.7
12.05.2023 02:19:00.000,1.25152,1.25160,1.25151,1.25157,23.4
12.05.2023 02:20:00.000,1.25158,1.25161,1.25146,1.25160,71.49
12.05.2023 02:21:00.000,1.25158,1.25164,1.25157,1.25163,46.8
12.05.2023 02:22:00.000,1.25163,1.25163,1.25149,1.25153,66.7
12.05.2023 02:23:00.000,1.25153,1.25163,1.25152,1.25154,28.8
12.05.2023 02:24:00.000,1.25153,1.25155,1.25152,1.25153,7.2
12.05.2023 02:25:00.000,1.25156,1.25161,1.25152,1.25153,38.52
12.05.2023 02:26:00.000,1.25152,1.25162,1.25152,1.25161,43.2
12.05.2023 02:27:00.000,1.25162,1.25162,1.25153,1.25156,27
12.05.2023 02:28:00.000,1.25154,1.25156,1.25150,1.25153,31.95
12.05.2023 02:29:00.000,1.25155,1.25156,1.25149,1.25151,26.55
12.05.2023 02:30:00.000,1.25152,1.25154,1.25141,1.25141,44.1
12.05.2023 02:31:00.000,1.25141,1.25146,1.25140,1.25140,88.63
12.05.2023 02:32:00.000,1.25141,1.25144,1.25136,1.25138,86.22
12.05.2023 02:33:00.000,1.25135,1.25146,1.25132,1.25146,52.98
12.05.2023 02:34:00.000,1.25144,1.25146,1.25133,1.25134,61.59
12.05.2023 02:35:00.000,1.25136,1.25136,1.25125,1.25125,165.99
12.05.2023 02:36:00.000,1.25125,1.25134,1.25123,1.25126,186.24
12.05.2023 02:37:00.000,1.25126,1.25135,1.25125,1.25135,70.14
12.05.2023 02:38:00.000,1.25134,1.25135,1.25128,1.25131,36
12.05.2023 02:39:00.000,1.25130,1.25142,1.25130,1.25134,47.7
12.05.2023 02:40:00.000,1.25134,1.25135,1.25131,1.25135,11.25
12.05.2023 02:41:00.000,1.25134,1.25147,1.25133,1.25147,36.9
12.05.2023 02:42:00.000,1.25147,1.25156,1.25141,1.25142,45
12.05.2023 02:43:00.000,1.25143,1.25144,1.25137,1.25144,24.3
12.05.2023 02:44:00.000,1.25143,1.25149,1.25135,1.25141,52.87
12.05.2023 02:45:00.000,1.25142,1.25144,1.25138,1.25140,41.4
12.05.2023 02:46:00.000,1.25141,1.25142,1.25132,1.25134,22.5
12.05.2023 02:47:00.000,1.25135,1.25137,1.25124,1.25125,33.3
12.05.2023 02:48:00.000,1.25125,1.25128,1.25118,1.25123,32.85
12.05.2023 02:49:00.000,1.25123,1.25123,1.25115,1.25121,65.25
12.05.2023 02:50:00.000,1.25121,1.25123,1.25115,1.25116,62.49
12.05.2023 02:51:00.000,1.25114,1.25118,1.25110,1.25118,99
12.05.2023 02:52:00.000,1.25120,1.25121,1.25114,1.25119,183.54
12.05.2023 02:53:00.000,1.25120,1.25120,1.25113,1.25115,22.5
12.05.2023 02:54:00.000,1.25113,1.25113,1.25111,1.25112,10.8
12.05.2023 02:55:00.000,1.25112,1.25118,1.25108,1.25112,132.3
12.05.2023 02:56:00.000,1.25113,1.25123,1.25104,1.25107,64.35
12.05.2023 02:57:00.000,1.25108,1.25111,1.25107,1.25111,130.5
12.05.2023 02:58:00.000,1.25111,1.25111,1.25099,1.25103,85.72
12.05.2023 02:59:00.000,1.25102,1.25105,1.25100,1.25104,129.6
12.05.2023 03:00:00.000,1.25105,1.25109,1.25100,1.25103,222.3
12.05.2023 03:01:00.000,1.25103,1.25103,1.25081,1.25089,258.45
12.05.2023 03:02:00.000,1.25088,1.25098,1.25087,1.25098,78.93
12.05.2023 03:03:00.000,1.25100,1.25102,1.25096,1.25099,35.1
12.05.2023 03:04:00.000,1.25099,1.25100,1.25092,1.25093,29.7
12.05.2023 03:05:00.000,1.25093,1.25094,1.25084,1.25093,27.39
12.05.2023 03:06:00.000,1.25090,1.25092,1.25082,1.25082,33.3
12.05.2023 03:07:00.000,1.25083,1.25094,1.25082,1.25094,22.5
12.05.2023 03:08:00.000,1.25093,1.25096,1.25092,1.25092,29.7
12.05.2023 03:09:00.000,1.25091,1.25096,1.25088,1.25093,43.2
12.05.2023 03:10:00.000,1.25093,1.25132,1.25093,1.25131,45.45
12.05.2023 03:11:00.000,1.25132,1.25145,1.25129,1.25144,43.2
12.05.2023 03:12:00.000,1.25144,1.25148,1.25143,1.25144,48.6
12.05.2023 03:13:00.000,1.25145,1.25145,1.25131,1.25135,36.9
12.05.2023 03:14:00.000,1.25136,1.25146,1.25136,1.25146,29.7
12.05.2023 03:15:00.000,1.25145,1.25145,1.25142,1.25143,24.3
12.05.2023 03:16:00.000,1.25143,1.25153,1.25142,1.25151,53.1
12.05.2023 03:17:00.000,1.25151,1.25164,1.25143,1.25155,61.98
12.05.2023 03:18:00.000,1.25157,1.25168,1.25157,1.25162,20.7
12.05.2023 03:19:00.000,1.25166,1.25166,1.25162,1.25162,16.2
12.05.2023 03:20:00.000,1.25164,1.25179,1.25164,1.25169,44.31
12.05.2023 03:21:00.000,1.25170,1.25181,1.25170,1.25172,68.4
12.05.2023 03:22:00.000,1.25172,1.25177,1.25172,1.25174,24.75
12.05.2023 03:23:00.000,1.25175,1.25182,1.25173,1.25179,32.4
12.05.2023 03:24:00.000,1.25179,1.25179,1.25172,1.25173,36
12.05.2023 03:25:00.000,1.25174,1.25177,1.25170,1.25173,25.2
12.05.2023 03:26:00.000,1.25173,1.25174,1.25164,1.25173,48.6
12.05.2023 03:27:00.000,1.25172,1.25176,1.25169,1.25170,38.25
12.05.2023 03:28:00.000,1.25169,1.25169,1.25159,1.25159,25.65
12.05.2023 03:29:00.000,1.25163,1.25174,1.25163,1.25173,56.7
12.05.2023 03:30:00.000,1.25172,1.25175,1.25172,1.25174,45.9
12.05.2023 03:31:00.000,1.25174,1.25175,1.25165,1.25175,51.24
12.05.2023 03:32:00.000,1.25175,1.25185,1.25173,1.25184,68.4
12.05.2023 03:33:00.000,1.25184,1.25184,1.25163,1.25167,45
12.05.2023 03:34:00.000,1.25169,1.25173,1.25162,1.25173,35.55
12.05.2023 03:35:00.000,1.25174,1.25177,1.25174,1.25174,74.7
12.05.2023 03:36:00.000,1.25175,1.25176,1.25171,1.25171,12.6
12.05.2023 03:37:00.000,1.25172,1.25172,1.25160,1.25160,81.12
12.05.2023 03:38:00.000,1.25162,1.25173,1.25162,1.25170,9
12.05.2023 03:39:00.000,1.25171,1.25173,1.25169,1.25172,16.2
12.05.2023 03:40:00.000,1.25172,1.25182,1.25164,1.25172,72.99
12.05.2023 03:41:00.000,1.25172,1.25173,1.25163,1.25166,23.04
12.05.2023 03:42:00.000,1.25168,1.25173,1.25168,1.25172,11.7
12.05.2023 03:43:00.000,1.25173,1.25174,1.25170,1.25173,9.9
12.05.2023 03:44:00.000,1.25171,1.25182,1.25170,1.25181,40.68
12.05.2023 03:45:00.000,1.25181,1.25181,1.25169,1.25172,23.4
12.05.2023 03:46:00.000,1.25172,1.25175,1.25172,1.25175,10.8
12.05.2023 03:47:00.000,1.25173,1.25182,1.25173,1.25181,10.8
12.05.2023 03:48:00.000,1.25183,1.25194,1.25182,1.25194,10.8
12.05.2023 03:49:00.000,1.25193,1.25213,1.25193,1.25213,26.1
12.05.2023 03:50:00.000,1.25212,1.25212,1.25211,1.25212,7.2
12.05.2023 03:51:00.000,1.25212,1.25214,1.25202,1.25203,23.79
12.05.2023 03:52:00.000,1.25203,1.25205,1.25202,1.25205,3.6
12.05.2023 03:53:00.000,1.25205,1.25206,1.25202,1.25203,21.6
12.05.2023 03:54:00.000,1.25203,1.25206,1.25198,1.25203,17.1
12.05.2023 03:55:00.000,1.25205,1.25205,1.25202,1.25202,11.25
12.05.2023 03:56:00.000,1.25203,1.25206,1.25202,1.25205,23.4
12.05.2023 03:57:00.000,1.25203,1.25207,1.25202,1.25207,24.75
12.05.2023 03:58:00.000,1.25210,1.25218,1.25204,1.25206,33.3
12.05.2023 03:59:00.000,1.25207,1.25215,1.25207,1.25212,28.8
12.05.2023 04:00:00.000,1.25213,1.25215,1.25204,1.25204,40.05
12.05.2023 04:01:00.000,1.25204,1.25215,1.25204,1.25211,58.05
12.05.2023 04:02:00.000,1.25213,1.25216,1.25204,1.25204,53.55
12.05.2023 04:03:00.000,1.25207,1.25219,1.25207,1.25213,38.7
12.05.2023 04:04:00.000,1.25216,1.25217,1.25212,1.25214,23.4
12.05.2023 04:05:00.000,1.25215,1.25215,1.25211,1.25212,18
12.05.2023 04:06:00.000,1.25212,1.25216,1.25210,1.25214,32.4
12.05.2023 04:07:00.000,1.25217,1.25225,1.25214,1.25223,29.25
12.05.2023 04:08:00.000,1.25224,1.25227,1.25224,1.25226,33.3
12.05.2023 04:09:00.000,1.25226,1.25237,1.25225,1.25235,21.15
12.05.2023 04:10:00.000,1.25235,1.25242,1.25226,1.25226,43.14
12.05.2023 04:11:00.000,1.25224,1.25226,1.25220,1.25226,30.6
12.05.2023 04:12:00.000,1.25223,1.25225,1.25223,1.25224,16.65
12.05.2023 04:13:00.000,1.25224,1.25225,1.25222,1.25223,12.6
12.05.2023 04:14:00.000,1.25223,1.25233,1.25222,1.25223,26.92
12.05.2023 04:15:00.000,1.25224,1.25225,1.25213,1.25215,25.2
12.05.2023 04:16:00.000,1.25217,1.25218,1.25212,1.25213,16.2
12.05.2023 04:17:00.000,1.25214,1.25215,1.25212,1.25215,13.5
12.05.2023 04:18:00.000,1.25218,1.25224,1.25218,1.25224,16.2
12.05.2023 04:19:00.000,1.25223,1.25229,1.25220,1.25220,30.09
12.05.2023 04:20:00.000,1.25220,1.25225,1.25212,1.25215,36.39
12.05.2023 04:21:00.000,1.25214,1.25216,1.25213,1.25216,5.4
12.05.2023 04:22:00.000,1.25216,1.25216,1.25202,1.25216,33.3
12.05.2023 04:23:00.000,1.25217,1.25220,1.25213,1.25213,92.7
12.05.2023 04:24:00.000,1.25214,1.25215,1.25212,1.25215,82.35
12.05.2023 04:25:00.000,1.25213,1.25214,1.25211,1.25213,8.1
12.05.2023 04:26:00.000,1.25212,1.25214,1.25212,1.25214,22.5
12.05.2023 04:27:00.000,1.25214,1.25214,1.25212,1.25214,11.25
12.05.2023 04:28:00.000,1.25213,1.25216,1.25211,1.25214,30.6
12.05.2023 04:29:00.000,1.25215,1.25216,1.25211,1.25215,13.95
12.05.2023 04:30:00.000,1.25216,1.25223,1.25216,1.25218,26.55
12.05.2023 04:31:00.000,1.25216,1.25219,1.25211,1.25211,25.65
12.05.2023 04:32:00.000,1.25212,1.25213,1.25205,1.25206,29.7
12.05.2023 04:33:00.000,1.25203,1.25217,1.25203,1.25217,14.85
12.05.2023 04:34:00.000,1.25218,1.25225,1.25216,1.25222,28.35
12.05.2023 04:35:00.000,1.25221,1.25224,1.25212,1.25215,108.9
12.05.2023 04:36:00.000,1.25216,1.25224,1.25212,1.25224,79.74
12.05.2023 04:37:00.000,1.25222,1.25227,1.25222,1.25227,89.1
12.05.2023 04:38:00.000,1.25225,1.25241,1.25225,1.25234,166.5
12.05.2023 04:39:00.000,1.25235,1.25235,1.25232,1.25233,117.9
12.05.2023 04:40:00.000,1.25233,1.25233,1.25221,1.25224,60.3
12.05.2023 04:41:00.000,1.25223,1.25225,1.25222,1.25224,33.3
12.05.2023 04:42:00.000,1.25225,1.25234,1.25224,1.25233,51.3
12.05.2023 04:43:00.000,1.25233,1.25236,1.25228,1.25234,72.9
12.05.2023 04:44:00.000,1.25235,1.25238,1.25233,1.25236,55.35
12.05.2023 04:45:00.000,1.25235,1.25237,1.25233,1.25234,103.5
12.05.2023 04:46:00.000,1.25234,1.25235,1.25234,1.25235,24.3
12.05.2023 04:47:00.000,1.25235,1.25236,1.25233,1.25234,106.65
12.05.2023 04:48:00.000,1.25235,1.25235,1.25233,1.25233,27
12.05.2023 04:49:00.000,1.25233,1.25234,1.25233,1.25233,11.7
12.05.2023 04:50:00.000,1.25234,1.25235,1.25233,1.25234,18.9
12.05.2023 04:51:00.000,1.25234,1.25244,1.25233,1.25244,25.65
12.05.2023 04:52:00.000,1.25243,1.25244,1.25233,1.25234,38.64
12.05.2023 04:53:00.000,1.25234,1.25234,1.25232,1.25232,27
