Gmt time,Open,High,Low,Close,Volume
27.03.2023 14:03:00.000,1.07862,1.07879,1.07852,1.07879,221.22
27.03.2023 14:04:00.000,1.07879,1.07898,1.07879,1.07885,339.36
27.03.2023 14:05:00.000,1.07886,1.07890,1.07862,1.07874,351.21
27.03.2023 14:06:00.000,1.07872,1.07873,1.07846,1.07856,472.57
27.03.2023 14:07:00.000,1.07856,1.07893,1.07856,1.07887,377.69
27.03.2023 14:08:00.000,1.07886,1.07908,1.07881,1.07907,478.51
27.03.2023 14:09:00.000,1.07910,1.07916,1.07897,1.07912,456.59
27.03.2023 14:10:00.000,1.07912,1.07914,1.07896,1.07897,614.98
27.03.2023 14:11:00.000,1.07899,1.07901,1.07876,1.07876,567.22
27.03.2023 14:12:00.000,1.07877,1.07882,1.07870,1.07872,706.13
27.03.2023 14:13:00.000,1.07872,1.07872,1.07854,1.07856,480.64
27.03.2023 14:14:00.000,1.07857,1.07859,1.07845,1.07846,456.71
27.03.2023 14:15:00.000,1.07846,1.07864,1.07846,1.07861,290.92
27.03.2023 14:16:00.000,1.07861,1.07870,1.07834,1.07840,761.48
27.03.2023 14:17:00.000,1.07839,1.07841,1.07790,1.07792,762.12
27.03.2023 14:18:00.000,1.07791,1.07806,1.07785,1.07806,250.45
27.03.2023 14:19:00.000,1.07808,1.07840,1.07806,1.07816,454.89
27.03.2023 14:20:00.000,1.07816,1.07840,1.07816,1.07839,349.59
27.03.2023 14:21:00.000,1.07839,1.07877,1.07839,1.07866,300.46
27.03.2023 14:22:00.000,1.07864,1.07882,1.07864,1.07872,387.74
27.03.2023 14:23:00.000,1.07870,1.07882,1.07870,1.07877,236.06
27.03.2023 14:24:00.000,1.07877,1.07886,1.07855,1.07865,426.61
27.03.2023 14:25:00.000,1.07866,1.07873,1.07855,1.07869,526.85
27.03.2023 14:26:00.000,1.07866,1.07889,1.07865,1.07885,378.09
27.03.2023 14:27:00.000,1.07886,1.07889,1.07879,1.07881,612.28
27.03.2023 14:28:00.000,1.07879,1.07881,1.07847,1.07855,566.67
27.03.2023 14:29:00.000,1.07858,1.07865,1.07847,1.07858,522.53
27.03.2023 14:30:00.000,1.07858,1.07871,1.07855,1.07867,666.9
27.03.2023 14:31:00.000,1.07867,1.07873,1.07856,1.07868,479.39
27.03.2023 14:32:00.000,1.07867,1.07871,1.07847,1.07851,474.81
27.03.2023 14:33:00.000,1.07851,1.07861,1.07842,1.07842,365.52
27.03.2023 14:34:00.000,1.07842,1.07842,1.07821,1.07838,651.85
27.03.2023 14:35:00.000,1.07838,1.07855,1.07822,1.07837,362.29
27.03.2023 14:36:00.000,1.07837,1.07854,1.07821,1.07843,560.18
27.03.2023 14:37:00.000,1.07845,1.07846,1.07822,1.07824,373.85
27.03.2023 14:38:00.000,1.07823,1.07833,1.07796,1.07816,512.7
27.03.2023 14:39:00.000,1.07817,1.07818,1.07786,1.07793,655.94
27.03.2023 14:40:00.000,1.07794,1.07800,1.07788,1.07788,542.39
27.03.2023 14:41:00.000,1.07790,1.07792,1.07782,1.07784,319.5
27.03.2023 14:42:00.000,1.07783,1.07783,1.07766,1.07769,418.67
27.03.2023 14:43:00.000,1.07768,1.07783,1.07767,1.07783,231.88
27.03.2023 14:44:00.000,1.07782,1.07797,1.07777,1.07797,195.68
27.03.2023 14:45:00.000,1.07791,1.07794,1.07772,1.07784,210.64
27.03.2023 14:46:00.000,1.07786,1.07797,1.07783,1.07789,360.55
27.03.2023 14:47:00.000,1.07790,1.07799,1.07779,1.07793,216.12
27.03.2023 14:48:00.000,1.07793,1.07797,1.07778,1.07783,129.94
27.03.2023 14:49:00.000,1.07780,1.07787,1.07772,1.07787,226.93
27.03.2023 14:50:00.000,1.07788,1.07789,1.07759,1.07762,465.31
27.03.2023 14:51:00.000,1.07762,1.07782,1.07757,1.07758,320.47
27.03.2023 14:52:00.000,1.07759,1.07773,1.07755,1.07771,247.09
27.03.2023 14:53:00.000,1.07771,1.07788,1.07766,1.07777,156.11
27.03.2023 14:54:00.000,1.07780,1.07811,1.07780,1.07807,158.11
27.03.2023 14:55:00.000,1.07806,1.07807,1.07774,1.07787,220.82
27.03.2023 14:56:00.000,1.07789,1.07800,1.07786,1.07786,275.11
27.03.2023 14:57:00.000,1.07786,1.07799,1.07776,1.07798,152.79
27.03.2023 14:58:00.000,1.07798,1.07830,1.07798,1.07804,315.14
27.03.2023 14:59:00.000,1.07804,1.07818,1.07800,1.07815,284.6
27.03.2023 15:00:00.000,1.07813,1.07813,1.07796,1.07810,329.93
27.03.2023 15:01:00.000,1.07809,1.07822,1.07808,1.07808,157.12
27.03.2023 15:02:00.000,1.07809,1.07809,1.07796,1.07799,265.08
27.03.2023 15:03:00.000,1.07798,1.07800,1.07786,1.07786,247.32
27.03.2023 15:04:00.000,1.07782,1.07784,1.07774,1.07780,438.66
27.03.2023 15:05:00.000,1.07781,1.07794,1.07777,1.07781,507.65
27.03.2023 15:06:00.000,1.07780,1.07803,1.07775,1.07801,461.26
27.03.2023 15:07:00.000,1.07800,1.07809,1.07799,1.07808,219.16
27.03.2023 15:08:00.000,1.07808,1.07822,1.07803,1.07816,248.32
27.03.2023 15:09:00.000,1.07816,1.07816,1.07778,1.07786,414.13
27.03.2023 15:10:00.000,1.07787,1.07793,1.07778,1.07792,283.64
27.03.2023 15:11:00.000,1.07791,1.07799,1.07791,1.07796,233.61
27.03.2023 15:12:00.000,1.07797,1.07828,1.07792,1.07828,272.22
27.03.2023 15:13:00.000,1.07828,1.07860,1.07828,1.07857,205.33
27.03.2023 15:14:00.000,1.07856,1.07858,1.07839,1.07839,301.18
27.03.2023 15:15:00.000,1.07838,1.07838,1.07803,1.07805,483.59
27.03.2023 15:16:00.000,1.07804,1.07811,1.07797,1.07810,271.3
27.03.2023 15:17:00.000,1.07811,1.07812,1.07796,1.07807,261.02
27.03.2023 15:18:00.000,1.07806,1.07807,1.07799,1.07802,177.74
27.03.2023 15:19:00.000,1.07800,1.07821,1.07797,1.07816,203.06
27.03.2023 15:20:00.000,1.07818,1.07821,1.07812,1.07821,170.82
27.03.2023 15:21:00.000,1.07820,1.07829,1.07820,1.07820,212.76
27.03.2023 15:22:00.000,1.07821,1.07824,1.07816,1.07817,164.04
27.03.2023 15:23:00.000,1.07817,1.07818,1.07810,1.07817,67.23
27.03.2023 15:24:00.000,1.07817,1.07817,1.07797,1.07811,243.86
27.03.2023 15:25:00.000,1.07811,1.07812,1.07797,1.07799,235.62
27.03.2023 15:26:00.000,1.07798,1.07806,1.07797,1.07804,191.7
27.03.2023 15:27:00.000,1.07807,1.07816,1.07805,1.07806,162.06
27.03.2023 15:28:00.000,1.07806,1.07816,1.07805,1.07816,217.21
27.03.2023 15:29:00.000,1.07816,1.07825,1.07815,1.07818,255.63
27.03.2023 15:30:00.000,1.07819,1.07827,1.07817,1.07819,215.91
27.03.2023 15:31:00.000,1.07818,1.07819,1.07798,1.07803,190.86
27.03.2023 15:32:00.000,1.07803,1.07819,1.07802,1.07819,102.91
27.03.2023 15:33:00.000,1.07819,1.07826,1.07813,1.07826,282.63
27.03.2023 15:34:00.000,1.07824,1.07831,1.07821,1.07829,253.21
27.03.2023 15:35:00.000,1.07830,1.07832,1.07823,1.07828,190.57
27.03.2023 15:36:00.000,1.07827,1.07831,1.07807,1.07813,260.67
27.03.2023 15:37:00.000,1.07812,1.07832,1.07812,1.07832,227.24
27.03.2023 15:38:00.000,1.07833,1.07841,1.07833,1.07837,185.1
27.03.2023 15:39:00.000,1.07836,1.07841,1.07832,1.07840,137.86
27.03.2023 15:40:00.000,1.07839,1.07845,1.07836,1.07845,177.47
27.03.2023 15:41:00.000,1.07844,1.07852,1.07842,1.07849,313.13
27.03.2023 15:42:00.000,1.07849,1.07851,1.07841,1.07846,167.22
27.03.2023 15:43:00.000,1.07846,1.07858,1.07846,1.07857,128.97
27.03.2023 15:44:00.000,1.07857,1.07862,1.07856,1.07862,160.23
27.03.2023 15:45:00.000,1.07862,1.07864,1.07856,1.07858,105.21
27.03.2023 15:46:00.000,1.07858,1.07866,1.07856,1.07862,179.55
27.03.2023 15:47:00.000,1.07862,1.07879,1.07857,1.07879,243.16
27.03.2023 15:48:00.000,1.07879,1.07879,1.07870,1.07876,209.41
27.03.2023 15:49:00.000,1.07878,1.07889,1.07878,1.07886,316.08
